Concepto,Unidad,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
                            EXPORTACIONES,Mbd,77.42468416129,73.9209402857146,62.2769415483871,74.7791827666667,90.7973138387099,64.0281855666667,72.0965612903226,69.9163421290321,85.058681366667,89.6250505806451,130.8633479,102.167573903226,114.598236580645,65.3654283793104,89.7358132903226,133.6568072,151.921426354839,146.095244966667,145.39146383871,149.672902612903,179.324738366667,136.642476419355,87.5211044,122.178035354839,137.240009258064,150.837508464286,180.193142483871,168.369761866667,126.365770032258,131.513899733334,143.739974129032,136.862944354839,203.467708166667,223.096645774193,170.254110566667,162.835391935483,178.98313383871,205.610396821428,223.045796064516,179.1347622,171.759115354839,145.866945366667,173.628301258065,212.259909419355,184.8243592,216.254492032258,201.146607466666,195.255128387096,215.75707016129,208.869227035714,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                            IMPORTACIONES,Mbd,872.159246559159,967.579572278708,884.441894255017,928.45576094424,833.143459953796,869.432192587186,770.124731543584,776.619406344036,765.623074150608,812.650417695674,844.316841246128,847.33633675113,823.435878725107,836.124474415269,806.501884608363,463.485638888958,386.305925698908,350.183802952347,508.590143747844,587.54848328717,540.337428285708,548.766555606764,644.311709047278,632.944331049633,521.160833527676,445.207034324846,421.028021605151,583.214119049108,607.382713708909,624.822334523589,636.293266390212,535.122549462172,522.679767809554,505.618855442244,571.722346087332,704.923137632194,593.731950806161,513.248909889266,664.106816578144,722.039317841181,806.455738763467,857.868905245972,955.199531992141,824.067726108186,741.96928669445,818.493746985093,682.006808782285,676.799410583534,669.683134515931,680.643187314405,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                PETROQUIMICOS (Mt) (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            EXPORTACIONES,Mt,8.097828,8.395264,3.307927,6.395597,6.699287,7.745014,8.348951,4.698765,10.121407,4.948296,3.149597,N/D,9.958075,4.629315,7.878593,N/D,N/D,3.149872,N/D,5.566094,N/D,2.7998,N/D,6.181905,N/D,3.144056,5.03201,N/D,32.843159,21.5488,2.161745,N/D,N/D,12.119807,18.055699,15.630919,N/D,3.877904,7.65732,N/D,N/D,N/D,N/D,N/D,4.305307,2.471664,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                            IMPORTACIONES,Mt,96.944911,152.827938,96.866322,81.810341,66.920282,69.758885,77.982594,52.721682,15.663399,49.336804,70.016701,50.428928,70.565539,45.49195,41.763995,23.685768,30.132625,7.681478,35.66508,39.640627,12.696397,28.064159,26.509844,24.06525,33.639147,42.368164,46.861282,13.747947,10.000181,16.810743,15.959192,17.641179,28.483568,27.823086,63.746878,32.1418,35.427068,41.876967,34.919941,17.864143,15.503614,18.813924,19.552112,22.112231,44.317122,25.45363,48.548007,49.478698,57.100493,36.652317,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                MAQUILA,Mbd,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
            VALOR (MMUS$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                EXPORTACION NETA,MMUS$,-9.38217336034,521.05919477318,16.96931027123,-342.28236891363,99.961857381759,-365.791099339408,87.47932594705,-157.23176868917,49.31451321453,-327.08821296544,-149.78188934909,-45.2252584492199,95.38940888372,-481.85057528423,-512.57436903222,30.495825062984,338.904865147884,733.44753221504,461.334766586501,572.449616065236,407.64918252947,249.328037154886,472.050217129072,836.640727939898,688.894019659137,82.53759948521,885.72944097043,535.019985987513,687.115539556485,799.115111855493,907.687554336189,948.53297627199,907.37687871467,920.018062227957,724.188393750373,532.90302256162,540.720707883084,1100.47656356718,838.762901017166,432.519042076915,-294.426761885804,-639.469616113794,-1142.34785350143,-855.152532197161,-283.935944166443,-669.090502930307,-285.310369310835,-230.839044487456,-21.947446085125,-225.788244067949,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                EXPORTACION DE PETROLEO CRUDO,MMUS$,1785.81086257,2347.01383321,2103.09587334,1899.38392723,2252.48936061,1696.89825319,1932.45606541,1659.63297461,1644.12499853,1510.51283251,1706.112554,1823.83099627,1904.72654417,1276.19196267,1009.94614054,604.58082651,746.05044532,1130.01036086,1190.85087045,1442.60268199,1175.34413448,1095.66148568,1452.61913628,1826.43270682,1589.21869926,1614.94150159,1720.33649449,1700.35638272,2055.65015742,2220.67665586,2487.74169112,2306.07511974,2029.44307204,2091.74102404,2309.97501629,2322.50048651,2022.81283846,2272.99358809,2814.63724059,3139.5871372,3116.73983723,3271.28091657,3105.67724722,2445.80743004,2501.2687356,2351.34666204,2095.89776401,1947.36042741,2049.41637104,1783.26239792,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                PETROLIFEROS Y GAS LICUADO (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            EXPORTACIONES,MMUS$,122.37061172,120.48325921,113.95038055,131.94289711,158.49866635,98.77937389,116.24101119,91.12288231,117.91554717,94.77248848,118.76404242,115.49389668,131.99663159,50.00573653,38.18432537,40.57260835,84.38161436,124.68756335,141.203051690836,159.95607097,167.27513587,134.97361087,93.89687298,154.18261684,186.49548117,210.66682374,272.57202707,260.29936843,208.38648673,221.62741394,249.32640583,241.63822809,391.963596,461.02481074,301.11931607,312.21193918,406.43274196,469.09992846,608.01491514,469.16612953,481.75559558,374.70435464,426.25791642,445.76555152,300.52948453,346.79612083,312.47247609,345.06983303,335.4449281,298.80972891,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                            IMPORTACIONES,MMUS$,1738.3366813157,1840.00291877171,2101.48239688907,2291.05584401604,2200.90921878389,2073.74002483825,1870.66428935119,1842.74473988171,1643.63054309102,1881.0307574835,1898.79226296087,1937.93820817668,1878.71016644471,1711.51441911768,1460.07506548964,533.577117151269,411.743130538315,442.21577554976,765.688762273339,922.329985695564,819.71040133503,857.293924882564,924.448838487291,1006.80742509227,946.291686682923,809.005126244561,958.346559928242,1298.83021831796,1463.47381503815,1494.04010422672,1658.78673487974,1397.12214175839,1309.00638140506,1424.33287075652,1617.93963025823,1916.36633688128,1689.84613330659,1447.13193225752,2378.2654428636,2973.02703493258,3627.90394156641,4040.0374515937,4474.69673856941,3456.11877135801,2791.72004084019,3099.90690844814,2453.85414246075,2285.47760744561,2177.54549215147,2147.03185062818,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                EXPORTACION NETA DE GAS NATURAL  NAFTAS Y CONDENSADOS,MMUS$,-86.123653763276,-60.873417670421,-51.920900558407,-32.213652242816,-51.802860786227,-38.320926635014,-39.775280777802,-21.629062258132,-38.29774296208,0.0737929996449935,-17.137804658222,-6.509258217437,-12.418190287532,-35.754824641994,-50.788802412578,-45.376230220387,-37.834755333361,-41.6827867452,-53.080372035697,-56.422152235846,-68.04170658687,-63.57653577586,-83.026425179677,-70.739396187832,-84.50399556289,-878.42550861966,-95.079767719074,-77.080900169757,-90.816607523575,-99.11089725879,-101.532807489091,-110.75267489015,-116.8932124298,-139.241117305503,-143.631831368727,-103.48834392933,-98.596146291276,-83.171859451887,-90.241309041124,-97.191640087923,-170.523418327864,-133.600167202334,-71.798539126955,-117.748949774011,-97.414171135268,-84.136888106311,-43.16883744537,-51.660456191465,-38.289375909775,-1.280739846699,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                PETROQUIMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            EXPORTACIONES,MMUS$,3.5430226661,4.16080057,1.72700253,3.61273626,3.86571939,4.3392257,5.1283994,3.12937749,5.75378645,3.36484128,0.95051688,N/D,4.593723753,2.074716,2.10788509,-0.10094221,N/D,-0.12301536,N/D,1.4935392,N/D,0.04382523,0.36625958,2.29385494,-0.07944137,0.81299,3.557127869,0.11336397,18.18439528304,10.46129594,1.31088217,0.15864504,N/D,6.76742009984,12.33944525,14.58020861,N/D,2.2816385,7.218781372,N/D,N/D,N/D,N/D,N/D,1.56402762,1.01380242,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                            IMPORTACIONES,MMUS$,96.64633523746,49.72236177469,48.40064870129,53.95243325477,62.179809398121,53.747000646148,55.90657992396,46.74320095933,36.55153288237,54.78141075158,59.67893503,40.1026850051,54.79913389704,62.85374672456,51.94885213,35.60332021536,41.94930866044,37.22881434,51.9500212453,52.85053816335,47.21797989863,60.48042396669,67.35678804396,68.72162938,55.94503715505,56.45308098057,57.30988081126,49.83801064477,40.81507731483,60.499252398997,70.37188241498,91.46419994947,88.13019549047,75.94120458986,137.67392223267,96.53493092777,100.08259293905,113.59479977341,122.60128418011,106.01554963258,94.49483480153,111.81726852776,127.78773944506,172.85779262514,198.16397994099,184.20329166586,196.65762950472,186.13124129038,190.97387716388,159.54778042307,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
            PRECIOS (US$/b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                EXPORTACION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                            PETROLEO CRUDO (3),,53.7648588592225,56.8174108148629,58.9778831337674,61.863776766024,60.3136140829969,56.8457225531256,57.7842167610153,49.5081980471737,55.1013871735064,50.6008225473206,51.0325331276054,52.7910421818962,48.7464688713334,40.2536253857072,28.4768264245432,17.1010234268822,22.6677997365426,33.8113848549484,36.5685754931181,39.0961992903508,38.2895372101492,38.9340419746255,41.3430542671242,47.42871840622,52.3797364676341,57.3416031414679,60.0122022277265,61.3899239928187,64.3396242201914,66.92938963655,68.4607942447334,67.7759912383134,68.857828872621,72.155695948339,75.1503092807016,72.2917631610279,78.4187441496937,87.7308770402938,100.360185844309,102.237506006836,104.245076625524,105.95436070407,94.385492883275,86.269563456101,81.6249436127202,78.137233816039,78.1916057145929,69.8201997380883,67.4863790511097,67.1282335875386,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
